Order_ID,Order_Date,Region,Category,Product,Sales,Quantity,Profit
100000,2024-09-06,North,Clothing,Shoes,383.2,5,93.85
100001,2024-10-25,West,Furniture,Desk,929.31,3,124.0
100002,2024-01-21,South,Clothing,Jeans,1940.42,5,500.84
100003,2024-07-14,North,Office Supplies,Stapler,1242.61,5,252.14
100004,2023-07-09,East,Clothing,Jacket,112.4,2,32.98
100005,2023-05-11,North,Furniture,Desk,777.27,3,229.92
100006,2023-11-12,North,Electronics,Tablet,911.99,5,48.62
100007,2023-04-02,West,Furniture,Table,623.14,2,46.37
100008,2023-03-22,South,Clothing,Shoes,1000.45,4,58.62
100009,2024-04-21,South,Office Supplies,Pen,637.19,4,114.71
100010,2023-09-27,West,Clothing,Jeans,910.51,2,135.47
100011,2023-12-04,West,Clothing,Shoes,109.55,4,14.39
100012,2023-02-10,North,Clothing,T-Shirt,1931.21,2,389.64
100013,2023-05-09,West,Electronics,Tablet,167.61,5,49.73
100014,2023-10-16,East,Office Supplies,Stapler,413.71,3,94.26
100015,2023-07-20,East,Clothing,T-Shirt,729.76,2,57.63
100016,2024-12-28,South,Office Supplies,Stapler,208.91,2,29.81
100017,2024-09-04,North,Electronics,Tablet,1282.36,4,348.55
100018,2024-02-02,East,Clothing,Jeans,1526.35,3,290.49
100019,2024-04-05,West,Clothing,Jacket,1427.11,1,110.92
100020,2024-04-29,South,Clothing,Jacket,642.42,1,113.8
100021,2023-06-09,North,Clothing,Jacket,1088.89,5,109.72
100022,2024-07-27,North,Clothing,Jacket,339.22,3,95.8
100023,2023-11-27,South,Electronics,Laptop,1611.27,4,155.72
100024,2024-01-12,North,Office Supplies,Pen,725.47,4,200.74
100025,2024-12-10,East,Clothing,Jeans,1639.67,1,434.81
100026,2024-11-14,South,Office Supplies,Printer Paper,979.96,1,218.64
100027,2024-11-22,North,Office Supplies,Printer Paper,659.94,3,118.59
100028,2024-01-21,East,Electronics,Smartphone,522.75,1,58.4
100029,2023-01-02,North,Clothing,T-Shirt,583.98,5,34.58
100030,2023-05-10,South,Furniture,Bookshelf,703.24,5,146.69
100031,2024-03-14,West,Electronics,Headphones,1971.59,2,217.89
100032,2024-09-01,North,Clothing,Shoes,499.48,3,125.26
100033,2023-05-04,North,Furniture,Table,1636.54,3,408.46
100034,2024-02-07,West,Clothing,Jeans,1719.55,5,226.1
100035,2024-10-01,North,Furniture,Desk,710.36,3,52.6
100036,2023-05-31,South,Clothing,Jeans,1357.87,1,317.48
100037,2024-09-15,South,Clothing,Jeans,530.72,2,114.1
100038,2024-10-13,South,Electronics,Headphones,536.44,4,160.43
100039,2023-07-27,East,Electronics,Laptop,393.64,3,47.13
100040,2024-02-24,West,Clothing,Shoes,1291.22,1,91.72
100041,2023-04-09,North,Furniture,Bookshelf,1169.76,4,167.36
100042,2023-06-12,South,Electronics,Laptop,338.4,2,63.34
100043,2023-10-04,South,Office Supplies,Notebook,368.33,1,20.08
100044,2024-04-14,West,Office Supplies,Stapler,1322.07,3,253.94
100045,2023-08-14,East,Clothing,Jeans,983.75,5,272.03
100046,2024-10-20,North,Electronics,Smartphone,1162.27,1,201.22
100047,2024-04-21,South,Office Supplies,Printer Paper,106.34,1,31.76
100048,2024-05-11,North,Furniture,Chair,1500.48,3,432.54
100049,2023-06-10,North,Furniture,Chair,1961.06,3,134.99
100050,2023-11-19,South,Office Supplies,Printer Paper,1122.47,2,318.82
100051,2024-09-30,South,Office Supplies,Pen,1237.71,2,368.24
100052,2023-09-03,North,Clothing,Jeans,658.65,2,172.68
100053,2024-02-12,South,Office Supplies,Printer Paper,607.09,5,94.07
100054,2023-11-17,West,Electronics,Headphones,30.27,2,6.27
100055,2024-12-27,South,Office Supplies,Stapler,1775.5,4,101.03
100056,2023-05-30,North,Clothing,Jeans,941.88,3,174.87
100057,2024-03-19,South,Furniture,Table,93.95,1,24.02
100058,2023-07-15,East,Electronics,Laptop,557.65,5,162.45
100059,2024-10-17,West,Furniture,Chair,834.48,4,187.66
100060,2024-08-26,West,Electronics,Smartphone,1434.9,4,86.48
100061,2023-05-07,East,Furniture,Desk,70.19,2,20.4
100062,2023-04-06,East,Electronics,Headphones,135.22,5,37.7
100063,2023-07-08,West,Furniture,Table,1327.19,1,159.24
100064,2023-06-03,West,Clothing,Shoes,1231.21,5,190.71
100065,2023-03-10,West,Office Supplies,Printer Paper,257.93,5,34.94
100066,2024-03-07,South,Clothing,T-Shirt,367.15,4,19.93
100067,2024-06-05,East,Electronics,Tablet,362.94,4,57.51
100068,2024-10-20,South,Furniture,Chair,109.7,4,15.76
100069,2023-12-02,West,Furniture,Bookshelf,1087.97,1,240.43
