order_id,order_date,category,region,payment_mode,quantity,unit_price,discount_pct,revenue,cost,profit,profit_margin,returned,month,month_name,quarter,week
1,2023-01-01 00:00:00.000000000,Clothing,North,Credit Card,3,1117.2,0.0,3351.6,1764.88,1586.72,47.34,0,1,Jan,1,52
2,2023-01-01 00:10:29.004580091,Beauty,West,Net Banking,2,1220.02,5.0,2318.04,1100.52,1217.52,52.52,0,1,Jan,1,52
3,2023-01-01 00:20:58.009160183,Sports,South,UPI,2,2601.42,10.0,4942.7,3054.38,1888.32,38.2,0,1,Jan,1,52
4,2023-01-01 00:31:27.013740274,Home & Kitchen,South,Debit Card,1,17106.4,10.0,15395.76,10178.2,5217.56,33.89,1,1,Jan,1,52
5,2023-01-01 00:41:56.018320366,Electronics,North,UPI,2,65420.47,25.0,98130.7,74156.41,23974.29,24.43,0,1,Jan,1,52
6,2023-01-01 00:52:25.022900458,Electronics,North,Credit Card,1,31261.03,0.0,31261.03,20740.59,10520.44,33.65,0,1,Jan,1,52
7,2023-01-01 01:02:54.027480549,Electronics,West,Debit Card,4,37100.94,20.0,118723.01,72402.64,46320.37,39.02,0,1,Jan,1,52
8,2023-01-01 01:13:23.032060641,Books,Central,COD,1,1085.89,20.0,868.71,751.21,117.5,13.53,0,1,Jan,1,52
9,2023-01-01 01:23:52.036640732,Home & Kitchen,South,Debit Card,4,2680.76,10.0,9650.74,5103.59,4547.15,47.12,0,1,Jan,1,52
10,2023-01-01 01:34:21.041220824,Sports,South,Credit Card,2,14257.27,0.0,28514.54,17054.13,11460.41,40.19,0,1,Jan,1,52
11,2023-01-01 01:44:50.045800916,Electronics,Central,Credit Card,2,23114.84,10.0,41606.71,26913.44,14693.27,35.31,0,1,Jan,1,52
12,2023-01-01 01:55:19.050381007,Beauty,West,Debit Card,2,2024.62,15.0,3441.85,1849.47,1592.38,46.27,0,1,Jan,1,52
13,2023-01-01 02:05:48.054961099,Books,East,COD,5,578.0,15.0,2456.5,1596.87,859.63,34.99,0,1,Jan,1,52
14,2023-01-01 02:16:17.059541190,Electronics,East,COD,3,41163.55,15.0,104967.05,74666.77,30300.28,28.87,0,1,Jan,1,52
15,2023-01-01 02:26:46.064121282,Electronics,South,Credit Card,1,12066.74,25.0,9050.06,8087.24,962.82,10.64,0,1,Jan,1,52
16,2023-01-01 02:37:15.068701374,Electronics,East,Net Banking,3,49896.87,0.0,149690.61,90675.41,59015.2,39.42,0,1,Jan,1,52
17,2023-01-01 02:47:44.073281465,Clothing,West,Net Banking,2,4309.0,10.0,7756.2,4657.71,3098.49,39.95,0,1,Jan,1,52
18,2023-01-01 02:58:13.077861557,Home & Kitchen,East,UPI,1,9383.57,5.0,8914.39,4815.93,4098.46,45.98,0,1,Jan,1,52
19,2023-01-01 03:08:42.082441648,Clothing,North,UPI,1,3831.1,10.0,3447.99,1759.87,1688.12,48.96,0,1,Jan,1,52
20,2023-01-01 03:19:11.087021740,Clothing,West,Credit Card,2,1852.53,0.0,3705.06,2320.75,1384.31,37.36,0,1,Jan,1,52
21,2023-01-01 03:29:40.091601832,Home & Kitchen,Central,Credit Card,3,12100.89,15.0,30857.27,24001.74,6855.53,22.22,0,1,Jan,1,52
22,2023-01-01 03:40:09.096181923,Electronics,South,COD,4,13074.81,0.0,52299.24,35912.68,16386.56,31.33,0,1,Jan,1,52
23,2023-01-01 03:50:38.100762015,Clothing,West,COD,3,4442.64,10.0,11995.13,8484.3,3510.83,29.27,0,1,Jan,1,52
24,2023-01-01 04:01:07.105342106,Clothing,East,Credit Card,3,4730.18,10.0,12771.49,8350.84,4420.65,34.61,0,1,Jan,1,52
25,2023-01-01 04:11:36.109922198,Home & Kitchen,West,COD,4,18351.08,15.0,62393.67,34480.45,27913.22,44.74,0,1,Jan,1,52
26,2023-01-01 04:22:05.114502290,Books,Central,UPI,4,629.18,10.0,2265.05,1588.18,676.87,29.88,0,1,Jan,1,52
27,2023-01-01 04:32:34.119082381,Electronics,West,Credit Card,4,13831.6,10.0,49793.76,36926.66,12867.1,25.84,1,1,Jan,1,52
28,2023-01-01 04:43:03.123662473,Home & Kitchen,Central,COD,2,9919.5,0.0,19839.0,10408.53,9430.47,47.54,0,1,Jan,1,52
29,2023-01-01 04:53:32.128242564,Home & Kitchen,Central,Net Banking,5,11739.05,20.0,46956.2,39500.43,7455.77,15.88,0,1,Jan,1,52
30,2023-01-01 05:04:01.132822656,Electronics,West,Net Banking,2,47518.25,10.0,85532.85,51015.38,34517.47,40.36,0,1,Jan,1,52
31,2023-01-01 05:14:30.137402748,Home & Kitchen,South,COD,5,13303.5,0.0,66517.5,42537.06,23980.44,36.05,0,1,Jan,1,52
32,2023-01-01 05:24:59.141982839,Electronics,South,COD,3,23094.41,5.0,65819.07,44443.01,21376.06,32.48,0,1,Jan,1,52
33,2023-01-01 05:35:28.146562931,Electronics,East,Debit Card,3,10450.33,10.0,28215.89,19640.13,8575.76,30.39,0,1,Jan,1,52
34,2023-01-01 05:45:57.151143022,Beauty,West,Net Banking,3,1361.33,5.0,3879.79,2766.86,1112.93,28.69,0,1,Jan,1,52
35,2023-01-01 05:56:26.155723114,Beauty,West,Credit Card,4,2029.53,10.0,7306.31,5648.24,1658.07,22.69,0,1,Jan,1,52
